id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
118351010,3857,Schwenninger Wings,5434,Straubing Tigers,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,21/09/2014 16:30,21/09/2014 19:07,3,0,0,1,3,0,6,1,2.58041,4.42742,2.58666,4.5,1.52295,2.91221,5.5,1.96078,2.04082
118351110,3863,ERC Ingolstadt,3852,Krefeld Pinguine,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,21/09/2014 16:30,21/09/2014 19:06,1,1,5,2,0,0,6,3,2.23735,4.64561,2.94503,4.5,1.47447,3.1076,5.5,1.90685,2.10272
118351210,5426,Red Bull München,3862,Düsseldorfer EG,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,21/09/2014 16:32,21/09/2014 18:49,2,0,1,1,1,2,4,3,1.42318,6.53064,6.95064,4.5,1.36697,3.725,5.5,1.7022,2.4241
118351310,3860,Iserlohn Roosters,3856,Eisbären Berlin,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,21/09/2014 16:32,21/09/2014 18:49,0,2,1,1,1,2,2,5,2.82989,4.86274,2.27102,4.5,1.47447,3.1076,5.5,1.87259,2.14601
118351410,3848,Hamburg Freezers,3847,Kölner Haie,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,21/09/2014 17:49,21/09/2014 20:08,1,1,0,2,0,0,1,3,2.4716,4.43457,2.69778,4.5,1.55127,2.814,5.5,2.05886,1.94441
118353210,3875,HC Pardubice,37839,HC Olomouc,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,21/09/2014 17:02,21/09/2014 19:19,1,0,0,1,2,0,3,1,1.70172,5.03846,4.65836,4.5,1.53447,2.871,5.5,2.03049,1.97041
118353410,3866,HC Vitkovice,3872,PSG Zlín,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,21/09/2014 17:01,21/09/2014 19:21,1,1,1,0,1,1,3,2,2.10619,4.31084,3.41023,4.5,1.59453,2.682,5.5,2.14928,1.87011
118353710,3878,HC Slavia Prag,3876,Sparta Prag,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,21/09/2014 18:22,21/09/2014 20:46,1,4,1,1,0,0,2,5,2.57757,4.46168,2.57794,4.5,1.68634,2.457,5.5,2.34515,1.74341
118354210,3924,HKM Zvolen,5607,HK Nitra,651301,Extraliga,98201,Slowakei,Extraliga - Slowakei,Eishockey,21/09/2014 15:03,21/09/2014 17:06,2,3,1,0,0,1,3,4,2.35299,4.85894,2.70853,4.5,1.55783,2.79265,5.5,2.03904,1.96243
118372110,3752,VIK Västeraas,3762,IK Oskarshamn,285301,Allsvenskan,39201,Schweden,Allsvenskan - Schweden,Eishockey,22/09/2014 18:55,22/09/2014 21:27,2,0,1,0,0,0,3,0,1.75668,6.12978,3.73683,4.5,1.81169,2.232,5.5,2.58574,1.63062
